no_of_bedrooms,no_of_bathrooms,flat_area_in_sqft,lot_area_in_sqft,no_of_floors,waterfront_view,condition_of_the_house,overall_grade,area_of_the_house_from_basement_in_sqft,basement_area_in_sqft,age_of_house_in_years,zipcode,latitude,longitude,living_area_after_renovation_in_sqft,lot_area_after_renovation_in_sqft,does_basement_exist
3,1.75,1640.0,6435.0,1.0,no,fair,7,1190.0,450,46,98034,47.7197,-122.217,1770.0,6930,1
4,3.0,2420.0,4800.0,1.5,no,fair,7,1520.0,900,99,98119,47.6453,-122.358,1090.0,3800,1
1,0.75,480.0,9750.0,1.0,no,okay,4,480.0,0,70,98146,47.4982,-122.362,1550.0,9924,0
2,0.75,1440.0,3700.0,1.0,no,fair,7,1200.0,240,104,98107,47.6707,-122.364,1440.0,4300,1
6,1.5,1930.0,8400.0,1.0,no,fair,7,1030.0,900,47,98146,47.4869,-122.34,1780.0,9520,1
3,2.25,1820.0,13362.0,1.0,no,fair,8,1220.0,600,41,98075,47.5898,-122.052,2050.0,15000,1
4,1.75,2710.0,11400.0,1.0,no,good,9,1430.0,1280,42,98006,47.56100000000001,-122.153,2640.0,11000,1
3,2.5,3720.0,11610.0,2.0,no,fair,10,3720.0,0,36,98074,47.636,-122.049,3530.0,11877,0
3,2.25,1830.0,25641.0,2.0,no,fair,8,1830.0,0,29,98059,47.4786,-122.112,1500.0,25641,0
3,2.25,2000.0,217800.0,2.0,no,fair,8,2000.0,0,22,98024,47.5599,-121.911,2220.0,217800,0
4,2.5,2890.0,15067.0,2.0,no,fair,9,2890.0,0,15,98024,47.5666,-121.907,3090.0,15398,0
4,3.0,2620.0,35124.0,2.0,no,fair,9,2620.0,0,31,98092,47.3067,-122.116,2920.0,35807,0
3,2.25,1680.0,57063.0,2.0,no,good,8,1680.0,0,29,98045,47.4669,-121.765,1910.0,57063,0
3,2.5,1800.0,5372.0,2.0,no,fair,8,1800.0,0,31,98034,47.7188,-122.177,1650.0,6014,0
4,4.0,4430.0,31353.0,2.0,no,fair,10,4430.0,0,20,98005,47.6422,-122.157,3900.0,35237,0
5,3.25,3490.0,23400.0,1.0,no,good,8,1890.0,1600,61,98006,47.5701,-122.124,2660.0,12400,1
3,1.5,1670.0,5000.0,1.5,no,good,7,1670.0,0,106,98117,47.678,-122.36,1750.0,5000,0
4,2.0,1790.0,61419.0,2.0,no,okay,7,1790.0,0,30,98019,47.7216,-121.907,1790.0,62290,0
2,1.5,1220.0,5000.0,1.0,no,good,7,1220.0,0,80,98103,47.6624,-122.348,2090.0,3850,0
4,2.25,1790.0,13200.0,1.0,no,fair,7,1220.0,570,39,98058,47.4672,-122.185,1740.0,8950,1
4,2.5,2050.0,2772.0,2.0,no,fair,8,2050.0,0,6,98029,47.5421,-122.011,2050.0,2934,0
4,1.75,1000.0,7200.0,1.5,no,good,6,1000.0,0,71,98155,47.742,-122.324,1280.0,7200,0
3,1.75,1610.0,8613.0,1.0,no,excellent,7,1610.0,0,56,98033,47.6527,-122.195,2010.0,8670,0
4,2.5,2750.0,13950.0,1.0,no,good,8,1380.0,1370,70,98146,47.4938,-122.364,2460.0,13950,1
5,2.5,1760.0,10200.0,1.5,no,fair,6,1760.0,0,93,98106,47.5271,-122.351,1370.0,7620,0
2,1.75,1880.0,7208.0,1.0,no,fair,7,940.0,940,67,98115,47.6946,-122.328,1880.0,8051,1
3,2.5,2530.0,7000.0,2.5,no,fair,9,2530.0,0,103,98136,47.5465,-122.398,2380.0,7000,0
4,1.0,2070.0,7519.0,1.0,no,fair,7,1160.0,910,55,98008,47.632,-122.119,1730.0,7519,1
2,1.0,970.0,12500.0,1.0,no,fair,6,970.0,0,77,98168,47.5102,-122.33,1280.0,6250,0
3,1.5,960.0,7400.0,1.0,no,fair,7,960.0,0,56,98198,47.3798,-122.306,1640.0,8060,0
3,1.0,1020.0,6120.0,1.0,no,fair,7,1020.0,0,77,98115,47.6787,-122.285,2370.0,6695,0
3,2.5,1990.0,3600.0,2.0,no,fair,7,1990.0,0,14,98038,47.3841,-122.041,1790.0,3600,0
3,1.5,1560.0,20251.0,1.0,no,excellent,7,1200.0,360,29,98074,47.619,-122.054,1560.0,19119,1
3,1.0,1020.0,6903.0,1.0,no,fair,7,1020.0,0,67,98116,47.57100000000001,-122.392,1440.0,6678,0
3,1.75,2080.0,7800.0,1.0,no,excellent,7,1220.0,860,63,98166,47.4536,-122.355,1770.0,7860,1
2,1.5,1240.0,1331.0,2.0,no,fair,7,1050.0,190,11,98144,47.5959,-122.298,1250.0,1431,1
3,1.75,1240.0,10361.0,1.0,no,fair,6,1240.0,0,31,98042,47.37,-122.151,1240.0,8834,0
3,1.5,1570.0,10824.0,2.0,no,fair,7,1570.0,0,110,98118,47.54,-122.275,1530.0,8125,0
3,2.25,2100.0,14027.0,2.0,no,fair,8,2100.0,0,39,98042,47.3833,-122.1,2730.0,5999,0
4,4.5,5030.0,11023.0,2.0,no,fair,10,3250.0,1780,10,98040,47.5722,-122.236,3640.0,11490,1
4,1.0,1540.0,8400.0,1.0,no,fair,7,770.0,770,47,98058,47.4278,-122.152,1520.0,9891,1
5,2.0,1880.0,4179.0,1.0,no,fair,7,940.0,940,66,98118,47.5536,-122.283,1350.0,5150,1
3,2.0,1810.0,10684.0,2.0,no,fair,8,1810.0,0,31,98058,47.4619,-122.153,2140.0,9657,0
4,1.5,1840.0,10080.0,2.0,no,fair,8,1840.0,0,111,98118,47.5575,-122.279,1830.0,5040,0
3,2.5,1680.0,2096.0,2.0,no,fair,8,1380.0,300,10,98117,47.6904,-122.37,1360.0,2096,1
4,2.5,2280.0,3800.0,2.0,no,fair,7,2280.0,0,12,98038,47.3586,-122.036,2630.0,4045,0
2,2.5,1414.0,1960.0,2.0,no,fair,8,1414.0,0,32,98006,47.5423,-122.189,1414.0,2511,0
4,2.5,2980.0,4074.0,2.0,no,fair,8,2980.0,0,7,98019,47.734,-121.965,2320.0,4255,0
3,1.0,1190.0,9199.0,1.0,no,fair,7,1190.0,0,63,98148,47.4258,-122.322,1190.0,9364,0
4,2.5,3160.0,6540.0,1.0,no,fair,8,1580.0,1580,59,98178,47.5037,-122.24,1990.0,7090,1
3,1.75,1700.0,11613.0,1.0,no,excellent,7,1180.0,520,41,98092,47.2874,-122.187,1500.0,12377,1
2,2.5,1140.0,1181.0,3.0,no,fair,8,1140.0,0,11,98107,47.6713,-122.383,1220.0,1189,0
4,2.5,2050.0,14724.0,2.0,no,fair,7,2050.0,0,29,98019,47.73,-121.969,1920.0,12841,0
4,2.5,1910.0,8947.0,1.0,no,good,8,1160.0,750,48,98011,47.7374,-122.183,1920.0,7350,1
4,2.75,3460.0,11350.0,1.0,no,good,9,1780.0,1680,44,98006,47.56800000000001,-122.153,3200.0,13874,1
5,2.5,3050.0,8200.0,1.0,no,good,8,1650.0,1400,56,98006,47.5647,-122.155,2970.0,8792,1
2,1.0,1050.0,5900.0,1.0,no,fair,7,1050.0,0,68,98126,47.5326,-122.376,1280.0,5900,0
4,2.75,3170.0,7634.0,2.0,no,fair,10,3170.0,0,26,98075,47.5774,-122.054,2940.0,7846,0
4,1.75,1520.0,14417.0,1.0,no,good,7,1520.0,0,50,98065,47.526,-121.809,1600.0,10716,0
3,1.0,1340.0,7260.0,1.5,no,fair,7,1340.0,0,65,98125,47.7016,-122.295,1830.0,6822,0
4,2.5,2448.0,4949.0,2.0,no,fair,9,2448.0,0,4,98030,47.3428,-122.179,2815.0,5446,0
3,2.25,2010.0,7495.0,1.0,no,good,8,1570.0,440,39,98027,47.5613,-122.083,2050.0,8402,1
2,1.0,1380.0,5484.0,1.0,no,fair,8,1030.0,350,71,98199,47.6382,-122.399,1380.0,5347,1
3,1.75,2020.0,8531.0,1.0,no,fair,7,2020.0,0,53,98011,47.7691,-122.199,1950.0,8449,0
4,2.75,2900.0,5803.0,2.0,no,fair,9,2900.0,0,11,98028,47.7368,-122.232,2900.0,6212,0
6,3.5,4310.0,7760.0,2.0,no,fair,10,3260.0,1050,5,98059,47.5297,-122.155,4620.0,10217,1
4,2.5,4090.0,11225.0,2.0,no,fair,10,4090.0,0,13,98075,47.581,-121.971,3510.0,8762,0
2,1.0,970.0,8874.0,1.0,no,fair,7,970.0,0,50,98056,47.4943,-122.178,1340.0,8175,0
5,3.25,2180.0,7200.0,2.0,no,good,7,2180.0,0,36,98034,47.7078,-122.234,1840.0,7644,0
3,1.0,1750.0,7800.0,1.0,no,good,7,1150.0,600,62,98166,47.4596,-122.343,1750.0,7560,1
3,4.25,5150.0,7800.0,2.5,no,fair,10,4170.0,980,64,98112,47.6288,-122.282,4270.0,7800,1
3,2.25,2910.0,10204.0,2.0,no,fair,9,2910.0,0,28,98052,47.6897,-122.098,2700.0,13992,0
3,2.0,1760.0,11410.0,1.0,no,excellent,7,1060.0,700,41,98058,47.4528,-122.163,1680.0,9165,1
3,1.0,1810.0,7200.0,1.0,no,good,7,1130.0,680,64,98133,47.7493,-122.351,1810.0,8100,1
2,2.25,2130.0,4920.0,1.5,no,good,7,1530.0,600,77,98116,47.573,-122.409,2130.0,4920,1
4,2.5,1870.0,8449.0,2.0,no,fair,8,1870.0,0,26,98188,47.4435,-122.274,2160.0,8113,0
6,3.0,2180.0,7220.0,2.0,no,fair,7,2180.0,0,38,98003,47.3046,-122.305,2260.0,7344,0
3,2.5,1690.0,3322.0,2.0,no,fair,7,1690.0,0,15,98053,47.6824,-122.036,1650.0,3446,0
2,1.0,930.0,5077.0,1.0,no,fair,6,930.0,0,79,98133,47.7095,-122.35,1080.0,5803,0
2,2.0,1610.0,6160.0,2.0,no,good,8,1610.0,0,41,98052,47.6644,-122.13,1750.0,6305,0
5,3.5,4140.0,7642.0,2.0,no,fair,8,4140.0,0,15,98075,47.591,-122.008,3330.0,6953,0
4,2.75,2380.0,15800.0,1.0,no,fair,8,1680.0,700,61,98007,47.5929,-122.133,1950.0,11751,1
3,2.0,1220.0,17652.0,1.0,no,good,7,1220.0,0,38,98059,47.4712,-122.1,1990.0,17652,0
3,1.0,1400.0,8710.0,1.0,no,good,7,1400.0,0,70,98146,47.5066,-122.377,1460.0,8710,0
4,2.5,2310.0,3866.0,2.0,no,fair,8,2310.0,0,13,98029,47.5498,-121.996,1950.0,4023,0
5,3.25,3690.0,12353.0,2.0,no,excellent,9,3690.0,0,41,98155,47.7672,-122.292,2290.0,9082,0
4,2.5,2020.0,5100.0,2.0,no,fair,7,2020.0,0,8,98023,47.2822,-122.357,2300.0,5685,0
3,2.0,2660.0,4500.0,1.0,no,good,7,1330.0,1330,96,98199,47.6391,-122.403,1790.0,5000,1
1,2.0,1780.0,188465.0,2.0,no,fair,10,1780.0,0,17,98045,47.4506,-121.768,1780.0,21094,0
4,2.5,2260.0,3713.0,2.0,no,fair,9,2260.0,0,15,98034,47.7247,-122.165,2260.0,3713,0
3,2.75,2390.0,21804.0,1.0,no,fair,8,1450.0,940,45,98034,47.7339,-122.183,2390.0,10136,1
2,2.0,1130.0,1148.0,2.0,no,fair,9,800.0,330,11,98122,47.6023,-122.314,1350.0,1201,1
2,1.0,830.0,8000.0,1.0,no,fair,6,830.0,0,64,98198,47.4215,-122.318,1300.0,8000,0
3,2.5,2200.0,5954.0,2.0,no,fair,7,2200.0,0,14,98042,47.3709,-122.125,2200.0,5046,0
5,1.75,1830.0,16650.0,1.5,no,fair,7,1610.0,220,60,98155,47.7734,-122.315,1790.0,12743,1
3,1.75,1800.0,7199.0,1.0,no,fair,7,1300.0,500,46,98125,47.7264,-122.307,1800.0,8100,1
2,1.0,1440.0,8842.0,1.0,no,fair,7,840.0,600,68,98155,47.7443,-122.325,1650.0,8461,1
4,2.25,2050.0,8372.0,2.0,no,good,8,2050.0,0,34,98052,47.7234,-122.107,2010.0,8037,0
3,2.25,2110.0,7665.0,1.0,no,good,7,1360.0,750,45,98023,47.3082,-122.372,1660.0,8436,1
3,2.25,1560.0,35026.0,1.0,no,fair,7,1290.0,270,33,98092,47.3023,-122.069,1660.0,35160,1
4,1.75,1780.0,11436.0,1.0,no,excellent,9,1780.0,0,51,98004,47.6273,-122.194,2100.0,12052,0
4,3.25,2510.0,5311.0,2.0,no,fair,9,2510.0,0,9,98056,47.5028,-122.17,1590.0,9583,0
4,2.25,2030.0,13500.0,1.0,no,fair,7,1230.0,800,55,98059,47.4596,-122.066,1830.0,13800,1
3,1.75,1980.0,6760.0,1.0,no,good,8,1980.0,0,45,98008,47.6398,-122.113,2120.0,7280,0
3,1.75,2790.0,36585.0,1.0,no,good,8,1410.0,1380,48,98027,47.4734,-121.999,1900.0,45302,1
3,1.0,900.0,7576.0,1.0,no,good,6,900.0,0,59,98002,47.2881,-122.22,1220.0,7452,0
3,1.0,1100.0,27008.0,1.0,no,fair,6,960.0,140,83,98178,47.4963,-122.249,1280.0,8890,1
2,1.5,1640.0,4080.0,1.5,no,excellent,7,1540.0,100,102,98105,47.6624,-122.325,1880.0,4080,1
3,2.0,1550.0,34175.0,1.5,no,fair,7,1550.0,0,19,98045,47.4855,-121.698,2300.0,35174,0
3,2.5,2270.0,4488.0,2.0,no,fair,7,2270.0,0,19,98065,47.5329,-121.879,2360.0,4427,0
4,3.5,4083.0,68377.0,2.0,no,fair,10,4083.0,0,13,98001,47.3114,-122.262,2430.0,41382,0
4,2.5,2940.0,10382.0,2.0,no,good,9,2940.0,0,27,98059,47.5333,-122.151,2980.0,10547,0
5,2.5,3780.0,20000.0,1.0,no,good,9,1890.0,1890,40,98155,47.7603,-122.273,2840.0,19908,1
3,3.5,1240.0,1666.0,2.0,no,fair,7,1000.0,240,10,98136,47.5496,-122.388,1110.0,1027,1
3,1.0,1050.0,7500.0,1.0,no,fair,6,1050.0,0,118,98136,47.5473,-122.396,1380.0,7500,0
2,1.0,1747.0,12250.0,2.5,no,good,6,1747.0,0,70,98001,47.3282,-122.285,1620.0,10300,0
3,3.25,2200.0,2400.0,2.0,no,fair,8,1740.0,460,30,98119,47.6325,-122.371,2200.0,3600,1
5,3.5,3530.0,218472.0,2.0,no,fair,7,2380.0,1150,19,98019,47.7309,-121.905,2110.0,211404,1
4,2.5,2180.0,4000.0,2.0,no,fair,8,2180.0,0,98,98122,47.6186,-122.288,2660.0,4000,0
3,2.75,3450.0,5350.0,1.5,no,good,9,2590.0,860,93,98199,47.6389,-122.407,2910.0,5350,1
4,2.0,1440.0,4855.0,2.0,no,good,7,1440.0,0,46,98144,47.5717,-122.287,1300.0,4080,0
4,2.5,1780.0,6000.0,2.0,no,fair,7,1780.0,0,27,98198,47.3828,-122.302,1630.0,6000,0
3,2.5,2320.0,5760.0,1.0,no,fair,7,1480.0,840,31,98178,47.504,-122.248,1660.0,5762,1
4,2.5,2780.0,7838.0,2.0,no,fair,9,2780.0,0,14,98065,47.5312,-121.861,3160.0,7848,0
4,2.5,2250.0,3916.0,2.0,no,fair,8,2250.0,0,4,98003,47.3413,-122.18,2156.0,3920,0
2,3.0,1460.0,1452.0,2.0,no,fair,8,1140.0,320,11,98136,47.5224,-122.39,1460.0,1452,1
3,2.5,1860.0,10027.0,2.0,no,fair,8,1860.0,0,25,98033,47.6775,-122.165,1530.0,9204,0
4,2.5,2150.0,5000.0,2.0,no,fair,8,2150.0,0,17,98115,47.6962,-122.314,2030.0,6380,0
2,1.0,2020.0,7200.0,1.0,no,good,7,1700.0,320,71,98146,47.506,-122.384,2020.0,7200,1
3,1.75,1910.0,17003.0,1.5,no,good,8,1910.0,0,55,98001,47.3095,-122.283,1820.0,14806,0
3,2.5,2480.0,4950.0,2.0,no,fair,7,2480.0,0,14,98058,47.4389,-122.116,2230.0,5298,0
4,3.0,2490.0,5706.0,2.0,no,fair,9,2490.0,0,13,98042,47.3509,-122.165,2650.0,5880,0
5,4.75,3940.0,7067.0,2.0,no,fair,10,3230.0,710,10,98004,47.6232,-122.205,1910.0,7735,1
3,2.5,2753.0,65005.0,1.0,yes,excellent,9,2165.0,588,65,98070,47.4041,-122.451,2680.0,72513,1
2,1.0,600.0,6120.0,1.0,no,fair,5,600.0,0,75,98168,47.5,-122.317,1090.0,6120,0
3,1.75,2160.0,8565.0,1.0,no,fair,8,1730.0,430,47,98028,47.7664,-122.262,2910.0,9570,1
2,1.0,870.0,2676.0,1.0,no,fair,7,820.0,50,14,98144,47.5702,-122.287,1500.0,1719,1
4,1.5,2890.0,9000.0,2.0,no,fair,8,2090.0,800,79,98118,47.5682,-122.274,2550.0,8400,1
4,2.5,3370.0,9629.0,2.0,no,fair,10,3370.0,0,19,98075,47.5896,-121.978,3360.0,10335,0
4,2.0,1870.0,3497.0,1.0,no,fair,7,1200.0,670,64,98106,47.5309,-122.347,1270.0,3497,1
4,2.0,2320.0,7400.0,1.5,no,excellent,7,1620.0,700,105,98118,47.5558,-122.269,1740.0,4000,1
3,2.5,2060.0,4030.0,2.0,no,fair,7,2060.0,0,19,98032,47.3909,-122.238,2060.0,4029,0
3,2.0,1350.0,11805.0,1.0,no,fair,7,1350.0,0,32,98019,47.7313,-121.971,1350.0,14200,0
3,2.25,2780.0,31510.0,2.0,no,fair,8,2780.0,0,39,98053,47.67,-122.024,2890.0,36400,0
4,2.5,3310.0,42998.0,2.0,no,fair,9,3310.0,0,17,98052,47.7232,-122.131,3350.0,42847,0
3,2.5,2020.0,7800.0,1.0,no,good,7,1330.0,690,60,98133,47.7368,-122.337,1870.0,7800,1
3,1.75,1960.0,8136.0,1.0,no,fair,7,980.0,980,70,98106,47.5208,-122.364,1070.0,7480,1
4,3.5,3020.0,12750.0,2.0,no,fair,10,3020.0,0,28,98033,47.6524,-122.184,3120.0,14351,0
4,1.75,2120.0,4650.0,1.0,no,fair,7,1190.0,930,67,98117,47.6964,-122.4,2070.0,6487,1
4,2.25,2910.0,10189.0,2.0,no,fair,9,2910.0,0,30,98006,47.5465,-122.155,2780.0,10125,0
4,2.75,2090.0,8400.0,1.0,no,good,8,1240.0,850,42,98052,47.6872,-122.123,2340.0,9000,1
5,2.0,2040.0,6180.0,2.0,no,good,7,2040.0,0,110,98118,47.5503,-122.28,1870.0,4365,0
3,2.0,1740.0,41275.0,1.0,no,fair,8,1740.0,0,44,98045,47.4914,-121.763,2630.0,41275,0
1,1.0,820.0,1060.0,1.0,no,fair,8,760.0,60,11,98126,47.5472,-122.372,1770.0,1853,1
3,1.75,1458.0,858.0,2.0,no,fair,8,950.0,508,4,98144,47.592,-122.293,1458.0,3000,1
4,2.0,2130.0,2620.0,1.5,no,excellent,7,1650.0,480,99,98103,47.6515,-122.346,1330.0,2719,1
4,2.25,2130.0,8410.0,2.0,no,good,8,2130.0,0,41,98006,47.5589,-122.128,2170.0,8400,0
4,2.75,2030.0,9120.0,1.0,no,good,7,2030.0,0,30,98003,47.282,-122.303,1790.0,7627,0
2,1.0,1430.0,365904.0,1.0,no,fair,7,1010.0,420,27,98065,47.51300000000001,-121.857,2300.0,253519,1
4,1.75,1840.0,7275.0,1.0,no,fair,7,1090.0,750,42,98031,47.4002,-122.189,1840.0,7275,1
2,2.5,1320.0,1329.0,2.0,no,fair,8,1180.0,140,11,98107,47.6728,-122.374,1490.0,5000,1
4,2.0,1920.0,7803.0,1.0,no,fair,7,1080.0,840,56,98155,47.758,-122.325,1940.0,8147,1
3,1.5,1430.0,11173.0,1.0,no,bad,7,1430.0,0,63,98006,47.5734,-122.153,1520.0,11659,0
2,1.0,770.0,5200.0,1.0,no,excellent,6,770.0,0,49,98042,47.3627,-122.087,1150.0,5330,0
2,1.0,1250.0,4960.0,1.0,no,fair,7,940.0,310,80,98115,47.6893,-122.325,2030.0,7440,1
5,2.75,2790.0,4807.0,1.5,no,good,7,2140.0,650,69,98002,47.3098,-122.223,1056.0,4807,1
3,2.25,4320.0,19225.0,1.0,no,good,10,2160.0,2160,46,98004,47.6368,-122.216,3430.0,18469,1
4,2.5,1980.0,4745.0,2.0,no,fair,7,1980.0,0,14,98038,47.3495,-122.04,1980.0,4878,0
3,2.0,1830.0,10873.0,1.0,no,fair,8,1830.0,0,29,98023,47.3066,-122.394,2490.0,8976,0
3,2.5,1970.0,6291.0,2.0,no,good,7,1970.0,0,20,98042,47.3627,-122.073,1980.0,8852,0
3,1.75,2100.0,29735.0,1.0,no,good,7,1080.0,1020,61,98155,47.7622,-122.302,2100.0,11250,1
4,1.0,1780.0,4000.0,1.5,no,fair,7,1780.0,0,96,98103,47.6624,-122.354,1750.0,4000,0
3,3.25,1770.0,1863.0,2.0,no,fair,8,1430.0,340,15,98029,47.5478,-122.005,1410.0,1375,1
3,2.25,1800.0,9597.0,1.0,no,fair,7,1200.0,600,55,98188,47.4516,-122.267,1700.0,13502,1
1,1.5,1048.0,4800.0,1.0,no,fair,7,1048.0,0,76,98055,47.4759,-122.212,950.0,4800,0
3,1.75,1540.0,8885.0,1.0,no,good,7,1440.0,100,38,98031,47.4031,-122.201,1540.0,12734,1
3,1.5,1330.0,9900.0,1.0,no,fair,7,1330.0,0,62,98034,47.7167,-122.233,1940.0,9900,0
5,2.5,1960.0,7350.0,1.0,no,good,7,1360.0,600,49,98058,47.4368,-122.165,1900.0,7350,1
4,1.0,1680.0,4087.0,1.5,no,fair,7,1680.0,0,107,98103,47.6667,-122.337,1740.0,3745,0
3,2.25,1520.0,7930.0,1.0,no,fair,7,1160.0,360,30,98038,47.3605,-122.049,1530.0,7930,1
2,1.0,560.0,7560.0,1.0,no,fair,6,560.0,0,74,98126,47.5271,-122.375,990.0,7560,0
2,2.0,2180.0,21392.0,2.0,no,fair,8,2180.0,0,84,98034,47.7162,-122.246,2890.0,22000,0
2,1.0,940.0,5000.0,1.0,no,fair,7,940.0,0,68,98155,47.7518,-122.279,1800.0,7400,0
2,1.0,1240.0,57000.0,1.0,no,fair,7,1240.0,0,56,98075,47.597,-122.059,3050.0,25545,0
3,1.75,1800.0,8462.0,1.0,no,fair,8,1440.0,360,40,98052,47.6623,-122.141,2210.0,8436,1
5,2.5,3270.0,6129.0,2.0,no,fair,9,3270.0,0,14,98055,47.4461,-122.208,2980.0,5928,0
3,2.5,2020.0,26670.0,2.0,no,fair,7,2020.0,0,31,98003,47.2597,-122.31,1680.0,10939,0
0,0.0,290.0,20875.0,1.0,no,bad,1,290.0,0,55,98024,47.5308,-121.888,1620.0,22850,0
4,3.0,3820.0,26895.0,2.0,no,fair,10,3820.0,0,23,98072,47.7253,-122.092,3820.0,24751,0
3,3.25,1390.0,1278.0,2.0,no,fair,8,1140.0,250,13,98107,47.6735,-122.375,1390.0,1256,1
4,2.5,1540.0,1860.0,2.0,no,fair,8,1540.0,0,4,98029,47.5521,-121.999,1210.0,1090,0
2,1.0,840.0,8100.0,1.0,no,good,7,840.0,0,70,98177,47.7019,-122.366,1100.0,8220,0
3,2.0,1190.0,6445.0,1.0,no,fair,7,1190.0,0,22,98056,47.5057,-122.172,1920.0,8195,0
3,1.5,1800.0,8303.0,1.0,no,fair,7,1200.0,600,61,98133,47.7693,-122.357,1800.0,8171,1
3,1.75,1700.0,8534.0,1.0,no,good,7,1700.0,0,65,98004,47.6276,-122.205,2100.0,10443,0
2,1.5,1010.0,1968.0,1.5,no,excellent,5,1010.0,0,112,98107,47.6757,-122.385,1760.0,4200,0
5,1.0,1920.0,19040.0,1.0,no,fair,7,1160.0,760,57,98168,47.4756,-122.294,1920.0,11520,1
